BRAND,MODEL,VEHICLE CLASS,ENGINE SIZE L,CYLINDERS,TRANSMISSION,FUEL_TYPE,FUEL CONSUMPTION (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),CO2_Emissions(g/km)
BUICK,REGAL,MID-SIZE,2.0,4.0,AS6,Z,11.4,7.9,9.8,29,231
VOLVO,S60 T6,COMPACT,2.0,4.0,AS8,Z,10.6,7.7,9.3,30,218
LEXUS,CT 200h,COMPACT,1.8,4.0,AV,X,5.5,5.9,5.7,50,132
MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4.0,AS6,X,8.2,5.9,7.2,39,169
MERCEDES-BENZ,E 550 4MATIC,MID-SIZE,4.7,8.0,AS7,,12.9,9.6,11.4,25,270
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A5,X,13.7,8.9,11.5,25,271
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8.0,A8,,16.0,11.2,13.9,20,325
JEEP,CHEROKEE,SUV - SMALL,2.4,4.0,A9,X,10.9,7.7,9.5,30,223
CHEVROLET,SONIC RS,COMPACT,1.4,,AS6,X,9.5,7.1,8.4,34,195
LEXUS,ES 350,MID-SIZE,3.5,6.0,AS6,X,11.4,7.6,9.7,29,225
LEXUS,LX 570,SUV - STANDARD,5.7,8.0,AS8,Z,18.3,12.9,15.9,18,371
JEEP,COMPASS 4X4 TRAIL RATED,SUV - SMALL,2.4,4.0,AV,X,11.7,10.3,11.1,25,259
GMC,TERRAIN AWD,SUV - SMALL,2.4,4.0,A6,X,11.5,8.2,10.0,28,235
CHEVROLET,CAMARO SS,COMPACT,6.2,8.0,M6,Z,14.3,9.4,12.1,23,284
LINCOLN,MKC AWD,SUV - SMALL,2.0,4.0,AS6,X,12.4,9.0,10.9,26,256
TOYOTA,VENZA 4WD,SUV - SMALL,3.5,6.0,AS6,,12.8,9.3,11.3,25,263
CADILLAC,SRX,SUV - STANDARD,3.6,6.0,AS6,X,14.2,9.8,12.3,23,287
NISSAN,370Z,TWOSEATER,3.7,6.0,AS7,Z,126.0,9.2,11.1,25,260
GMC,YUKON 4WD,SUV - STANDARD,6.2,8.0,A8,Z,15.9,11.1,13.8,20,323
JAGUAR,XJR,FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.2,13.3,21,313
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6.0,M7,Z,12.7,8.9,11.0,26,258
TOYOTA,COROLLA,MID-SIZE,1.8,4.0,AV,X,8.2,6.2,7.3,39,171
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A6,X,17.1,12.0,14.8,19,348
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,,M6,Z,18.1,12.3,15.5,18,362
AUDI,A3,SUBCOMPACT,1.8,4.0,AM6,X,10.0,7.1,8.7,32,204
LEXUS,GS 350,MID-SIZE,3.5,6.0,AS8,Z,11.9,8.1,10.2,28,237
TOYOTA,CAMRY HYBRID XLE/SE,MID-SIZE,2.5,4.0,AV,X,5.7,6.0,5.9,48,137
GMC,TERRAIN,SUV - SMALL,2.4,4.0,A6,X,10.5,7.3,9.1,31,214
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6.0,AS6,E,18.7,13.3,16.3,17,271
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4.0,M5,X,10.2,7.7,9.1,31,214
NISSAN,JUKE,STATION WAGON - SMALL,1.6,,M6,Z,8.5,6.9,7.8,36,183
CADILLAC,ATS,COMPACT,3.6,6.0,AS8,X,11.6,7.9,9.9,29,233
MERCEDES-BENZ,GLE 550 4MATIC,SUV - STANDARD,4.7,8.0,AS7,Z,16.2,11.8,14.2,20,335
LEXUS,LS 460,MID-SIZE,4.6,8.0,AS8,Z,14.4,9.6,12.3,23,286
VOLVO,XC70 T5 AWD,SUV - SMALL,2.5,5.0,AS6,X,12.5,9.2,11.0,26,254
LAND ROVER,RANGE ROVER SPORT TD6 DIESEL,SUV - STANDARD,3.0,6.0,AS8,D,10.6,8.1,9.4,30,254
MERCEDES-BENZ,GLE 350d 4MATIC,SUV - STANDARD,3.0,6.0,A9,D,10.1,8.0,9.2,31,246
DODGE,CHARGER,FULL-SIZE,3.6,6.0,A5,X,13.7,8.9,11.5,25,271
CHEVROLET,TRAX,SUV - SMALL,1.4,4.0,M6,X,9.1,6.9,8.1,35,190
VOLKSWAGEN,BEETLE DUNE,COMPACT,1.8,4.0,AS6,X,9.7,7.5,8.7,32,203
