BRAND,MODEL,VEHICLE CLASS,ENGINE SIZE L,CYLINDERS,TRANSMISSION,FUEL_TYPE,FUEL CONSUMPTION (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),CO2_Emissions(g/km)
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,E,20.3,15.3,18.1,16,301
MERCEDES-BENZ,B 250,MID-SIZE,2.0,4.0,AS7,Z,9.2,6.6,8.0,35,188
CHEVROLET,TRAX,SUV - SMALL,1.4,4.0,AS6,X,9.2,7.0,8.2,34,193
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,13.0,22,304
MAZDA,MAZDA3 4-DOOR,COMPACT,2.5,4.0,AS6,,8.4,6.1,7.4,38,173
DODGE,VIPER SRT,TWO-SEATER,8.4,10.0,M6,Z,19.2,11.3,15.6,18,364
FORD,TRANSIT CONNECT WAGON FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,E,16.8,12.0,14.6,19,240
JEEP,PATRIOT,SUV - SMALL,2.0,4.0,M5,X,10.3,7.8,9.2,31,214
MINI,COOPER S 3 DOOR,SUBCOMPACT,2.0,4.0,AS6,Z,9.2,7.0,8.2,34,193
JAGUAR,XJR LWB,FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.2,13.3,21,313
KIA,FORTE KOUP,COMPACT,2.0,4.0,AS6,,9.7,7.1,8.6,33,200
FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS6,,20.6,14.3,17.8,16,293
GMC,CANYON,PICKUP TRUCK - SMALL,3.6,,A6,X,13.0,9.2,11.3,25,265
TOYOTA,CAMRY HYBRID LE,MID-SIZE,2.5,4.0,AV,,5.5,6.0,5.7,50,134
TOYOTA,HIGHLANDER AWD,SUV - STANDARD,3.5,6.0,AS6,X,13.0,9.8,11.6,24,272
VOLVO,XC90 T6 AWD,SUV - STANDARD,2.0,4.0,AS8,Z,11.5,9.5,10.6,27,247
KIA,K900,FULL-SIZE,3.8,6.0,AS8,X,13.9,9.2,11.8,24,278
FORD,EDGE AWD,SUV - SMALL,2.7,6.0,AS6,X,13.6,9.8,11.9,24,278
INFINITI,Q50 HYBRID AWD,COMPACT,3.5,6.0,AS7,Z,8.7,7.6,8.2,34,193
TOYOTA,YARIS HATCHBACK,COMPACT,1.5,4.0,M5,X,7.7,6.3,7.1,40,165
MASERATI,GHIBLI SQ4,MID-SIZE,3.0,6.0,AS8,Z,15.0,10.0,12.6,22,295
BMW,M3,COMPACT,3.0,6.0,AM7,Z,14.1,9.7,12.1,23,284
NISSAN,VERSA,MID-SIZE,1.6,4.0,M5,X,8.6,6.5,7.6,37,179
CADILLAC,CTS Vsport,MID-SIZE,3.6,6.0,AS8,,14.7,9.8,12.5,23,293
GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,22.2,15.3,19.1,15,317
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4.0,M5,X,12.4,11.4,11.9,24,279
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,,AM7,Z,17.4,11.3,14.7,19,343
TOYOTA,COROLLA,MID-SIZE,1.8,4.0,M6,X,8.4,6.4,7.5,38,174
FORD,MUSTANG CONVERTIBLE,SUB - COMPACT,2.3,4.0,AS6,X,116.0,8.0,10.0,28,234
LEXUS,LS 460 L AWD,MID-SIZE,4.6,8.0,AS8,Z,15.2,10.2,12.9,22,303
MERCEDES-BENZ,SLK 350,TWO-SEATER,3.5,6.0,AS7,Z,11.1,8.1,9.8,29,229
SCION,FR-S,MINICOMPACT,2.0,4.0,M6,Z,10.9,7.9,9.6,29,224
KIA,RIO ECO,COMPACT,1.6,4.0,AS6,X,8.5,6.3,7.6,37,175
FORD,TAURUS AWD,FULL-SIZE,3.5,6.0,AS6,X,14.7,9.8,12.5,23,293
JEEP,CHEROKEE 4X4 FFV,SUV - SMALL,2.4,4.0,A9,X,11.3,8.3,10.0,28,233
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8.0,AS8,,14.3,9.3,12.1,23,283
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4.0,M6,X,9.4,7.0,8.3,34,197
AUDI,A4 QUATTRO,COMPACT,2.0,4.0,AS8,Z,11.0,7.8,9.6,29,224
TOYOTA,CAMRY,MID-SIZE,3.5,6.0,AS6,X,11.0,7.7,9.5,30,222
BMW,228i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,10.5,6.9,8.9,32,209
MERCEDES-BENZ,MAYBACH S 600,FULL-SIZE,6.0,12.0,AS7,Z,18.2,11.7,15.3,18,359
JAGUAR,F-TYPE S COUPE,TWO-SEATER,3.0,6.0,AS8,,12.5,8.7,10.8,26,254
MAZDA,MAZDA3 5-DOOR (i-ELOOP),MID-SIZE,2.5,4.0,AS6,X,8.2,6.0,7.2,39,170
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8.0,AS8,Z,14.3,9.3,12.1,23,283
MERCEDES-BENZ,C 300 4MATIC,COMPACT,2.0,4.0,AS7,Z,10.1,7.8,9.0,31,212
CHRYSLER,300 FFV,FULL-SIZE,3.6,6.0,A8,E,16.8,10.3,13.9,20,229
HONDA,ACCORD,MID-SIZE,2.4,4.0,M6,X,10.3,7.2,8.9,32,207
FORD,EXPLORER AWD,SUV - STANDARD,2.3,4.0,AS6,X,13.1,9.1,11.3,25,265
TOYOTA,YARIS,COMPACT,1.5,4.0,AS6,X,7.2,5.6,6.4,44,151
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,,18.2,14.1,16.3,17,380
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,D,7.7,5.7,6.8,42,183
MERCEDES-BENZ,S 600,FULL-SIZE,6.0,12.0,AS7,Z,17.3,11.0,14.5,19,340
CHEVROLET,CRUZE LIMITED,MID-SIZE,1.8,4.0,AS6,X,10.5,6.8,8.8,32,207
PORSCHE,CAYMAN,TWO-SEATER,2.7,6.0,AM7,Z,10.7,7.4,9.2,31,217
KIA,FORTE 5,FULL-SIZE,2.0,4.0,AS6,X,9.5,7.2,8.5,33,199
CHEVROLET,SONIC 5 RS,STATION WAGON - SMALL,1.4,4.0,M6,X,8.9,7.0,8.0,35,189
LEXUS,NX 200t AWD F SPORT,SUV - SMALL,2.0,4.0,AS6,,10.8,8.8,9.9,29,231
BMW,750Li xDRIVE,FULL-SIZE,4.4,8.0,AS8,Z,14.3,9.3,12.1,23,283
MERCEDES-BENZ,GL 550 4MATIC,SUV - STANDARD,4.7,8.0,AS7,Z,17.5,13.1,15.5,18,365
AUDI,Q3 QUATTRO,COMPACT,2.0,4.0,AS6,Z,11.9,8.4,10.3,27,240
CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8.0,A6,E,20.5,14.0,17.6,16,288
PORSCHE,CAYENNE S,SUV - STANDARD,3.6,6.0,A8,Z,14.3,9.6,12.2,23,286
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6.0,A6,E,18.9,12.9,16.2,17,270
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6.0,M6,X,15.0,11.2,13.3,21,313
PORSCHE,PANAMERA 4,FULL-SIZE,3.6,6.0,AM7,Z,13.1,8.7,11.1,25,262
CADILLAC,CTS AWD,MID-SIZE,2.0,4.0,AS8,Z,11.2,8.1,9.8,29,229
CHRYSLER,200 FFV,MID-SIZE,2.4,4.0,A9,E,13.6,8.5,11.3,25,186
FORD,FUSION,MID-SIZE,2.0,4.0,AS6,X,10.5,7.0,8.9,32,210
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6.0,AS8,X,12.2,8.9,10.7,26,251
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4.0,AM6,Z,10.3,8.6,9.5,30,222
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.5,3.0,M6,,8.2,6.0,7.2,39,170
SUBARU,LEGACY AWD,MID-SIZE,2.5,4.0,M6,X,10.7,7.8,9.4,30,220
BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4.0,8.0,AS8,Z,17.7,10.3,14.4,20,337
MERCEDES-BENZ,S 400 4MATIC SWB,MID-SIZE,3.0,6.0,AS7,Z,12.6,8.6,10.8,26,253
GMC,TERRAIN AWD,SUV - SMALL,3.6,6.0,A6,X,14.9,10.1,12.8,22,300
JEEP,CHEROKEE 4X4,SUV - SMALL,2.4,4.0,A9,X,11.3,8.3,10.0,28,233
MERCEDES-BENZ,S 550 4MATIC COUPE,COMPACT,4.7,8.0,AS7,Z,14.4,9.8,12.3,23,289
INFINITI,Q50 AWD,MID-SIZE,2.0,4.0,AS7,Z,10.6,8.4,9.6,29,226
FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS6,X,16.8,11.8,14.5,19,341
MERCEDES-BENZ,AMG SLK 55,TWO-SEATER,5.5,,AS7,,12.4,8.5,10.6,27,252
SCION,iM,MID-SIZE,1.8,,M6,X,8.6,6.6,7.7,37,180
PORSCHE,911 CARRERA GTS,MINICOMPACT,3.8,6.0,M7,Z,12.9,9.0,11.2,25,262
PORSCHE,911 CARRERA,MINICOMPACT,3.4,,M7,Z,12.3,8.6,10.6,27,249
GMC,YUKON FFV,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,13.0,22,304
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8.0,A8,Z,17.6,10.7,14.5,19,339
CADILLAC,XTS AWD,FULL-SIZE,3.6,6.0,AS6,,13.9,8.9,11.6,24,273
BMW,M6 GRAN COUPE,COMPACT,4.4,8.0,M6,Z,16.1,10.9,13.7,21,321
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,D,9.4,6.2,7.8,36,213
LAND ROVER,RANGE ROVER SUPERCHARGED LWB,SUV - STANDARD,5.0,8.0,AS8,Z,17.2,12.5,15.1,19,356
PORSCHE,BOXSTER,TWO-SEATER,2.7,6.0,M6,Z,11.5,7.9,9.9,29,232
PORSCHE,BOXSTER S,TWO-SEATER,3.4,6.0,AM7,Z,11.3,7.9,9.8,29,230
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4.0,AM6,X,10.1,7.8,9.1,31,209
FORD,MUSTANG,SUBCOMPACT,5.0,8.0,AS6,X,14.9,9.5,12.4,23,292
PORSCHE,CAYENNE GTS,SUV - STANDARD,3.6,6.0,A8,Z,14.8,10.4,12.8,22,300
FORD,C-MAX HYBRID,FULL-SIZE,2.0,4.0,AV,X,5.6,6.4,6.0,47,140
HYUNDAI,GENESIS COUPE,SUBCOMPACT,3.8,6.0,M6,Z,14.1,9.6,12.1,23,283
AUDI,RS 7 QUATTRO,MID-SIZE,4.0,8.0,AS8,,16.6,9.4,13.3,21,313
MAZDA,MAZDA6 (i-ELOOP),MID-SIZE,2.5,4.0,AS6,X,8.5,5.9,7.3,39,171
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6.0,M7,Z,12.9,9.2,11.2,25,262
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,3.0,6.0,AS6,Z,11.9,8.5,10.4,27,238
VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4.0,AS6,X,9.4,6.3,8.0,35,187
BMW,228i xDRIVE,SUBCOMPACT,2.0,4.0,AS8,Z,10.4,6.8,8.8,32,207
DODGE,CHARGER AWD,FULL-SIZE,3.6,6.0,A8,,12.8,8.6,10.9,26,257
CHRYSLER,300,FULL-SIZE,3.6,,A8,X,12.4,7.7,10.3,27,240
AUDI,S3 QUATTRO,SUBCOMPACT,2.0,4.0,AM6,Z,10.1,7.7,9.0,31,211
HONDA,ACCORD COUPE,MID-SIZE,3.5,6.0,AS6,X,11.4,7.3,9.5,30,223
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8.0,A6,X,15.2,10.8,13.2,21,310
TOYOTA,PRIUS c,COMPACT,1.5,4.0,AV,X,4.5,5.1,4.7,60,111
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6.0,A8,,17.3,11.7,14.8,19,243
CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4.0,A6,X,10.5,7.3,9.1,31,214
HONDA,FIT,STATION WAGON - SMALL,1.5,4.0,M6,X,8.1,6.4,7.3,39,171
HONDA,CR-Z,TWO-SEATER,1.5,4.0,M6,X,7.9,6.5,7.3,39,169
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,,AS8,Z,20.9,12.7,17.2,16,403
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6.0,A6,X,15.8,10.6,13.4,21,315
FORD,EDGE AWD,SUV - SMALL,3.5,6.0,AS6,X,13.7,9.6,11.8,24,278
KIA,SEDONA SXL,MINIVAN,3.3,6.0,AS6,X,14.2,10.5,12.5,23,296
MINI,COOPER S CONVERTIBLE,MINI COMPACT,2.0,4.0,AS6,Z,97.0,7.0,8.5,33,198
FORD,ESCAPE,SUV - SMALL,2.0,4.0,AS6,X,10.9,7.9,9.6,29,224
JEEP,COMPASS,SUV - SMALL,2.4,4.0,M5,X,10.2,8.2,9.3,30,218
ACURA,ILX,COMPACT,2.4,,AM8,Z,9.3,6.6,8.1,35,189
JAGUAR,F-TYPE R AWD CONVERTIBLE,TWO-SEATER,5.0,,AS8,,15.7,10.4,13.3,21,311
PORSCHE,CAYENNE DIESEL (modified),SUV - STANDARD,3.0,6.0,A8,D,11.2,8.4,9.8,29,270
PORSCHE,911 TARGA 4,MINICOMPACT,3.4,6.0,M7,Z,12.9,9.0,11.1,25,261
NISSAN,GT-R,SUBCOMPACT,3.8,6.0,AM6,Z,14.3,10.5,12.6,22,294
DODGE,CHARGER SRT HELLCAT,FULL-SIZE,6.2,8.0,A8,Z,17.6,10.7,14.5,19,339
BMW,228i,SUBCOMPACT,2.0,4.0,AS8,Z,9.9,6.5,8.4,34,197
JAGUAR,F-TYPE S CONVERTIBLE,TWO-SEATER,3.0,6.0,M6,Z,15.3,9.9,12.9,22,302
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,D,94.0,6.2,7.8,36,213
FIAT,500X,SUV - SMALL,1.4,4.0,M6,X,9.5,6.9,8.3,34,194
GMC,YUKON XL,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,13.0,22,304
LEXUS,LS 460 AWD,MID-SIZE,4.6,8.0,AS8,Z,15.2,10.2,12.9,22,303
KIA,SPORTAGE AWD,SUV - SMALL,2.0,4.0,AS6,X,12.6,9.7,11.3,25,261
CHRYSLER,300 (MDS),FULL-SIZE,5.7,8.0,A8,X,14.8,9.3,12.3,23,289
VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4.0,AS6,Z,11.7,9.5,10.7,26,251
VOLVO,V60 T5,STATION WAGON - SMALL,2.0,4.0,AS8,X,9.6,6.7,8.3,34,193
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,14.6,10.4,12.7,22,298
FORD,FOCUS ST,MID-SIZE,2.0,4.0,M6,X,10.5,7.7,9.2,31,217
CHEVROLET,SONIC,COMPACT,1.8,4.0,M5,X,9.0,6.8,8.0,35,187
BUICK,LACROSSE FFV,MID-SIZE,3.6,6.0,AS6,E,18.7,12.4,15.8,18,260
VOLKSWAGEN,CC,COMPACT,2.0,4.0,AM6,Z,10.7,7.7,9.3,30,217
NISSAN,MAXIMA,MID-SIZE,3.5,6.0,AV7,Z,10.9,7.8,9.5,30,223
FORD,FOCUS FFV,COMPACT,2.0,4.0,AS6,E,12.1,8.6,10.5,27,175
MAZDA,CX-3,COMPACT,2.0,4.0,AS6,X,8.2,6.7,7.6,37,179
SUBARU,OUTBACK AWD,SUV - SMALL,3.6,6.0,AV6,X,12.0,8.6,10.5,27,246
JAGUAR,F-TYPE CONVERTIBLE,TWO-SEATER,3.0,6.0,AS8,Z,12.1,8.5,10.5,27,246
TOYOTA,SIENNA AWD,MINIVAN,3.5,6.0,AS6,X,14.4,10.2,12.5,23,290
MERCEDES-BENZ,B 250 4MATIC,MID-SIZE,2.0,4.0,AS7,,10.0,7.5,8.9,32,206
HYUNDAI,ELANTRA GT,MID-SIZE,2.0,4.0,AS6,X,9.8,7.2,8.6,33,203
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,15.0,10.7,13.1,22,307
TOYOTA,COROLLA,MID-SIZE,1.8,4.0,A4,X,8.6,6.5,7.6,37,179
KIA,SORENTO AWD,SUV - SMALL,2.0,4.0,AS6,X,12.3,9.3,10.9,26,259
CHEVROLET,MALIBU LIMITED,MID-SIZE,2.5,4.0,AS6,X,10.0,7.0,8.6,33,202
CHEVROLET,CRUZE LIMITED ECO,MID-SIZE,1.4,4.0,A6,X,9.0,6.1,7.7,37,181
TOYOTA,AVALON,MID-SIZE,3.5,6.0,AS6,X,11.4,7.6,9.7,29,225
BMW,435i COUPE,COMPACT,3.0,6.0,AS8,Z,11.6,7.7,9.9,29,232
FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,2.7,6.0,AS6,X,13.1,9.8,11.2,25,263
BMW,M2,SUBCOMPACT,3.0,6.0,M6,Z,12.7,9.2,11.1,25,260
SMART,FORTWO COUPE,TWO-SEATER,0.9,3.0,AM6,Z,7.5,6.1,6.9,41,157
MERCEDES-BENZ,AMG GLE 63 S 4MATIC,SUV - STANDARD,5.5,8.0,AS7,Z,17.3,13.5,15.6,18,366
CHEVROLET,SONIC,COMPACT,1.4,4.0,AS6,,9.0,6.8,8.0,35,188
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,5.0,,AS6,X,15.4,10.0,13.0,22,304
CADILLAC,ATS-V,COMPACT,3.6,6.0,AS8,Z,14.7,9.8,12.5,23,293
HYUNDAI,EQUUS,FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.2,13.3,21,312
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,2.7,6.0,AS6,X,13.1,10.1,11.7,24,275
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8.0,M6,Z,16.1,10.9,13.7,21,321
KIA,FORTE,MID-SIZE,2.0,4.0,M6,X,9.8,6.9,8.5,33,198
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,17.3,13.0,15.4,18,360
CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6.0,A9,,12.8,8.1,10.7,26,250
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,19.9,14.0,17.2,16,286
BMW,428i xDRIVE COUPE,COMPACT,2.0,4.0,AS8,Z,10.5,6.9,8.9,32,209
CADILLAC,XTS,FULL-SIZE,3.6,6.0,AS6,X,13.6,8.6,11.3,25,263
LINCOLN,MKX AWD,SUV - SMALL,3.7,6.0,AS6,X,14.4,10.3,12.5,23,293
FORD,TAURUS FFV,FULL-SIZE,3.5,6.0,AS6,E,17.6,11.6,14.9,19,248
INFINITI,Q50S RED SPORT AWD,MID-SIZE,3.0,6.0,AS7,Z,12.3,9.1,10.8,26,256
LEXUS,GS 200t,MID-SIZE,2.0,4.0,AS8,,10.6,7.2,9.0,31,212
BMW,X6 M,SUV - STANDARD,4.4,8.0,AS8,Z,16.6,12.1,14.6,19,343
BMW,M235i CABRIOLET,SUBCOMPACT,3.0,6.0,M6,Z,12.1,8.4,10.5,27,246
VOLKSWAGEN,GOLF R,COMPACT,2.0,4.0,AM6,Z,10.4,7.9,9.3,30,216
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4.0,AS6,X,12.7,10.5,11.7,24,274
JEEP,RENEGADE 4X4,SUV - SMALL,2.4,4.0,A9,X,11.2,8.0,9.8,29,229
INFINITI,Q50,MID-SIZE,2.0,4.0,AS7,Z,10.2,7.7,9.1,31,214
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,AS8,Z,11.0,7.8,9.6,29,224
ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8.0,AM7,Z,17.4,11.3,14.7,19,343
NISSAN,370Z,TWO-SEATER,3.7,6.0,M6,Z,13.3,9.3,11.5,25,269
BMW,340i xDRIVE,COMPACT,3.0,6.0,M6,Z,11.9,8.3,10.3,27,241
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.0,4.0,M5,X,9.5,7.0,8.4,34,197
VOLVO,XC60 3.0T AWD,SUV - SMALL,3.0,6.0,AS6,X,13.7,10.1,12.0,24,276
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6.0,M6,X,14.2,11.0,12.8,22,299
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,22.2,15.3,19.1,15,317
LAND ROVER,RANGE ROVER,SUV - STANDARD,3.0,6.0,AS8,Z,14.2,10.2,12.4,23,291
GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,19.9,14.0,17.2,16,286
PORSCHE,911 GT3RS,TWO-SEATER,4.0,6.0,AM7,Z,16.3,11.8,14.3,20,334
FORD,TRANSIT CONNECT WAGON LWB,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.4,8.7,10.7,26,252
FORD,EXPEDITION EL 4X4,SUV - STANDARD,3.5,6.0,AS6,,16.4,12.1,14.4,20,338
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,12.2,8.7,10.6,27,250
FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,,16.8,12.0,14.6,19,240
NISSAN,MICRA,COMPACT,1.6,4.0,M5,X,8.6,6.6,7.7,37,182
HYUNDAI,ACCENT,COMPACT,1.6,4.0,M6,X,8.7,6.3,7.6,37,176
CHEVROLET,CRUZE,COMPACT,1.4,4.0,M6,X,8.2,5.8,7.1,40,167
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4.0,A6,X,8.7,6.9,7.9,36,183
BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6.0,AS8,Z,13.0,9.7,11.5,25,269
FORD,FOCUS FFV,compact,2.0,4.0,M5,X,92.0,6.6,8.0,35,188
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,14.6,10.1,12.6,22,294
MINI,JOHN COOPER WORKS,SUBCOMPACT,2.0,4.0,AS6,Z,9.4,7.5,8.5,33,199
CADILLAC,ATS,COMPACT,2.0,4.0,M6,Z,12.0,8.1,10.3,27,240
LEXUS,ES 300h,MID-SIZE,2.5,4.0,AV6,X,5.8,6.1,5.9,48,139
JAGUAR,XF AWD ,MID-SIZE,3.0,6.0,AS8,Z,11.9,8.3,10.3,27,241
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8.0,M6,Z,16.8,10.4,13.9,20,326
HYUNDAI,SONATA SPORT/LIMITED,FULL-SIZE,2.4,4.0,AS6,X,10.0,7.0,8.6,33,204
ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12.0,AS8,Z,20.9,12.7,17.2,16,403
JEEP,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,2.4,4.0,A9,X,12.1,9.4,10.9,26,255
LINCOLN,MKZ AWD,MID-SIZE,3.7,6.0,AS6,X,13.8,9.7,11.9,24,279
CHRYSLER,200 FFV,MID-SIZE,2.4,4.0,A9,X,10.2,6.4,8.5,33,198
CHEVROLET,CRUZE LIMITED ECO,MID-SIZE,1.4,4.0,M6,X,8.4,5.6,7.1,40,167
MERCEDES-BENZ,E 400 CABRIOLET,SUBCOMPACT,3.0,6.0,AS7,Z,11.5,8.1,10.0,28,233
AUDI,A4,COMPACT,2.0,4.0,AV8,Z,9.9,7.6,8.9,32,212
MERCEDES-BENZ,AMG G 63,SUV - STANDARD,5.5,8.0,AS7,Z,20.0,16.6,18.5,15,417
BMW,M235i,SUBCOMPACT,3.0,6.0,M6,,11.9,8.6,10.4,27,245
MERCEDES-BENZ,AMG C 63,COMPACT,4.0,,AS7,Z,13.4,9.6,11.7,24,268
FORD,EDGE,SUV - SMALL,3.5,6.0,AS6,X,13.4,9.0,11.4,25,268
BMW,435i xDRIVE COUPE,COMPACT,3.0,6.0,AS8,Z,12.0,7.9,10.2,28,238
MITSUBISHI,MIRAGE,COMPACT,1.2,3.0,M5,X,7.0,5.6,6.3,45,147
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.4,4.0,M6,X,8.5,6.2,7.5,38,175
MERCEDES-BENZ,AMG S 63 COUPE,COMPACT,5.5,8.0,AS7,Z,15.3,10.2,13.0,22,313
LAND ROVER,RANGE ROVER SUPERCHARGED,SUV - STANDARD,5.0,8.0,AS8,Z,17.2,12.5,15.1,19,356
CADILLAC,ATS-V,COMPACT,3.6,6.0,M6,,14.2,10.2,12.4,23,289
BMW,550i xDRIVE,MID-SIZE,4.4,,AS8,Z,14.4,9.6,12.3,23,288
JAGUAR,F-TYPE COUPE,TWO-SEATER,3.0,6.0,M6,Z,14.9,9.8,12.6,22,296
INFINITI,Q70 AWD,MID-SIZE,5.6,8.0,AS7,Z,14.9,10.2,12.8,22,300
CADILLAC,CTS,MID-SIZE,3.6,6.0,AS8,X,11.6,7.9,9.9,29,233
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,15.0,10.7,13.1,22,307
MINI,COOPER CLUBMAN,MID-SIZE,1.5,3.0,AS6,Z,9.4,7.0,8.3,34,195
BMW,320i,COMPACT,2.0,4.0,M6,Z,10.7,7.0,9.0,31,211
MITSUBISHI,RVR 4WD,SUV - SMALL,2.4,4.0,AV6,X,10.5,8.6,9.6,29,223
KIA,SORENTO AWD,SUV - SMALL,2.4,4.0,AS6,X,11.4,9.2,10.4,27,245
FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4.0,A6,X,9.6,7.3,8.6,33,200
MERCEDES-BENZ,CLA 250,COMPACT,2.0,4.0,AS7,Z,9.4,6.4,8.1,35,188
SUBARU,FORESTER AWD,SUV - SMALL,2.5,4.0,AV6,X,9.6,7.5,8.7,32,204
AUDI,A6 QUATTRO,MID-SIZE,2.0,4.0,AS8,Z,10.8,7.3,9.2,31,211
MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3.0,AS6,Z,8.7,6.6,7.7,37,181
AUDI,Q3,COMPACT,2.0,4.0,AS6,Z,12.0,8.2,10.3,27,242
HONDA,CIVIC SEDAN,MID-SIZE,2.0,4.0,AV,X,7.8,5.8,6.9,41,162
BUICK,ENCORE SPORT TOURING,SUV - SMALL,1.4,4.0,AS6,X,8.5,6.9,7.8,36,182
PORSCHE,CAYENNE TURBO,SUV - STANDARD,4.8,8.0,A8,Z,16.7,11.2,14.2,20,334
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.5,6.0,A6,E,19.1,14.3,16.9,17,278
AUDI,S6 QUATTRO,MID-SIZE,4.0,8.0,AM7,Z,13.3,8.8,11.3,25,263
LEXUS,GS 450h,MID-SIZE,3.5,6.0,AV8,Z,8.1,6.9,7.6,37,177
FORD,EDGE,SUV - SMALL,2.0,4.0,AS6,X,11.5,7.8,9.8,29,231
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4.0,A6,X,11.7,9.1,10.5,27,248
FORD,FIESTA ST,COMPACT,1.6,4.0,M6,X,9.0,7.1,8.1,35,191
FORD,FUSION HYBRID,MID-SIZE,2.0,4.0,AV,X,5.4,5.7,5.5,51,130
FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.4,8.7,10.7,26,252
